 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Município e Ano atendimento
Procedimento: 0301130051 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 04 PRE DIALISE, 0301130060 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 05 PRE DIALISE, 0305010018 DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE), 0305010026 DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA), 0305010034 DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS, 0305010042 HEMODIALISE CONTINUA, 0305010050 HEMODIALISE I (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010069 HEMODIALISE I (MAXIMO 3 SESSOES POR SEMANA), 0305010077 HEMODIALISE I EM PORTADOR DE HIV (EXCEPCIONALIDADE - MAXIMO 1 SESSAO POR SEMANA), 0305010085 HEMODIALISE I EM PORTADOR DE HIV (MAXIMO 3 SESSOES POR SEMANA), 0305010093 HEMODIALISE (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010107 HEMODIALISE (MAXIMO 3 SESSOES POR SEMANA), 0305010115 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MAXIMO 3 S, 0305010123 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (EXCEPCIONAL, 0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO, 0305010182 TREINAMENTO DE PACIENTE SUBMETIDO A DIALISE PERITONEAL - DPAC-DPA (9 DIAS), 0305010204 HEMODIALISE PEDIATRICA (MAXIMO 04 SESSOES POR SEMANA), 0305010220 COMPLEMENTACAO DE VALOR DE SESSAO DE HEMODIALISE EM PACIENTE COM SUSPEICAO OU CONFIRMACAO DE, 0405050054 CICLODIALISE, 0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE, 0418010048 IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0418010064 IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE, 0702100013 CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0702100021 CATETER P/ SUBCLAVIA DUPLO LUMEN P/ HEMODIALISE
Período:Jan/2015-Abr/2026
"Município";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"110002 ARIQUEMES";-;419;13829;19034;24391;26500;26247;25874;28278;26069;25589;27938;9323;253491
"110004 CACOAL";-;15884;18741;21310;21197;20505;20469;19989;21199;23266;24260;24300;8303;239423
"110012 JI-PARANA";-;19430;23297;26732;28800;29222;30116;24488;25184;24439;24575;26682;9393;292358
"110020 PORTO VELHO";-;37350;41820;47390;52599;54473;54838;51968;53205;54057;57343;59102;19049;583194
"110030 VILHENA";-;12476;13982;16601;17327;18069;17992;17663;17790;4429;5500;2961;-;144790
"120010 BRASILEIA";-;-;-;-;-;-;-;-;-;4;8784;11173;4311;24272
"120020 CRUZEIRO DO SUL";-;-;337;4325;4324;5137;5520;6378;7932;9756;10734;10571;3686;68700
"120040 RIO BRANCO";-;34953;38077;42147;43493;46647;51829;49088;46194;46950;56133;64347;23085;542943
"130260 MANAUS";9;108710;103437;102427;101989;116850;158129;150818;168584;169950;172003;169564;53602;1576072
"140010 BOA VISTA";-;28705;32016;36321;35220;36473;37171;35720;37739;42783;44879;46294;14937;428258
"150010 ABAETETUBA";-;-;-;-;-;-;-;-;-;-;6486;16549;5628;28663
"150060 ALTAMIRA";-;10875;12954;14245;16279;16495;17205;15658;15972;16238;17251;16689;5453;175314
"150080 ANANINDEUA";-;19012;14654;31180;42723;48156;61242;62062;62814;56884;56742;59990;21922;537381
"150140 BELEM";12;93536;96978;124994;130358;134398;129108;141540;154770;162369;171358;173584;55750;1568755
"150170 BRAGANCA";-;8137;8124;7995;7935;8040;8135;7962;8113;8185;12135;13564;4392;102717
"150180 BREVES";-;-;-;-;-;-;-;-;2514;4498;5120;5640;2365;20137
"150220 CAPANEMA";-;-;-;-;-;-;-;-;-;-;1756;13128;5443;20327
"150240 CASTANHAL";-;26818;27115;27287;32114;38577;41512;44710;50626;56718;57919;56865;25043;485304
"150360 ITAITUBA";-;-;-;-;-;-;-;-;-;-;2686;11462;4032;18180
"150420 MARABA";-;30017;31441;32135;33712;36331;36866;34998;35510;48463;44596;46436;15833;426338
"150442 MARITUBA";-;17631;18451;18800;18440;18437;19303;18081;19243;19104;20035;19661;6514;213700
"150553 PARAUAPEBAS";-;-;-;21;6;16;5;8714;9602;8869;18467;24899;8783;79382
"150613 REDENCAO";-;19185;20518;21303;22865;24964;25349;26477;28115;28939;29210;29706;9992;286623
